extracted_term,hpo_term,hpo_id,negated
atrophy of the intrinsic hand muscles,None detected,None,False
"atrophy of the intrinsic hand, foot, and calf muscles",None detected,None,False
atrophy of the legs,None detected,None,False
atrophy of the lower limbs,None detected,None,False
atrophy of the paraspinal muscles,None detected,None,False
atrophy of the peroneal muscles,None detected,None,False
atrophy of the posterior tibial muscles,None detected,None,False
attacks of athetosis,athetosis,HP:0002305,False
attacks of chorea,chorea,HP:0002072,False
attacks of dystonia,dystonia,HP:0001332,False
attacks of muscle weakness mainly in limbs,muscle weakness,HP:0001324,False
attention deficit with hyperactivity,attention deficit,HP:0007018,False
attention deficit with hyperactivity,hyperactivity,HP:0000752,False
attention deficits,attention deficits,HP:0007018,False
atypical absence seizures,atypical absence seizures,HP:0007270,False
atypical gait disturbance,gait disturbance,HP:0001288,False
autism spectrum disorder,autism spectrum disorder,HP:0000729,False
autistic behavior,autistic behavior,HP:0000729,False
automutilation such as hand biting,None detected,None,False
awkward gait,None detected,None,False
awkward in toed gait,None detected,None,False
axial dystonia,axial dystonia,HP:0002530,False
axial hypotonia,axial hypotonia,HP:0008936,False
axial rigidity,rigidity,HP:0002063,False
axial weakness,None detected,None,False
Babinski sign,babinski sign,HP:0003487,False
back pain,back pain,HP:0003418,False
balance problems,None detected,None,False
ballismus,None detected,None,False
behavioral abnormalities,None detected,None,False
behavioral and psychiatric disturbances,psychiatric disturbances,HP:0000708,False
behavioral changes,behavioral changes,HP:0000708,False
behavioral disturbances,behavioral disturbances,HP:0000708,False
behavioral issues,None detected,None,False
behavioral problems,behavioral problems,HP:0000708,False
behavioral problems with aggressive features,behavioral problems,HP:0000708,False
bifid uvula,bifid uvula,HP:0000193,False
bilateral cavus feet,None detected,None,False
bilateral extensor plantar responses,extensor plantar responses,HP:0003487,False
bilateral facial weakness,bilateral facial weakness,HP:0001349,False
bilateral foot drop,foot drop,HP:0009027,False
bilateral hand tremor,hand tremor,HP:0002378,False
bilateral hand tremors,tremors,HP:0001337,False
bilateral lower limb hyperreflexia,lower limb hyperreflexia,HP:0002395,False
bilateral optic atrophy,optic atrophy,HP:0000648,False
bilateral pes cavus,pes cavus,HP:0001761,False
bilateral pes equinovarus,pes equinovarus,HP:0001762,False
bilateral progressive visual failure,None detected,None,False
bilateral upgoing plantar responses,None detected,None,False
bilateral vocal cord paralysis,bilateral vocal cord paralysis,HP:0012820,False
bladder disturbance,None detected,None,False
bladder disturbances,None detected,None,False
bladder dysfunction,None detected,None,False
bladder incontinence,bladder incontinence,HP:0000020,False
bladder urgency,None detected,None,False
blepharoptosis,blepharoptosis,HP:0000508,False
blepharospasm,blepharospasm,HP:0000643,False
blindness,blindness,HP:0000618,False
blindness from optic atrophy,blindness,HP:0000618,False
blindness from optic atrophy,optic atrophy,HP:0000648,False
blurred vision,blurred vision,HP:0000622,False
body temperature instability,body temperature instability,HP:0005968,False
bowel urgency,bowel urgency,HP:0012701,False
brachial dystonia,dystonia,HP:0001332,False
brachycephaly,brachycephaly,HP:0000248,False
bradykinesia,bradykinesia,HP:0002067,False
bradykinesia of the tongue,bradykinesia,HP:0002067,False
brief attacks of dystonia,dystonia,HP:0001332,False
brisk deep tendon reflexes,brisk deep tendon reflexes,HP:0006801,False
brisk deep tendon reflexes in the lower extremities,brisk deep tendon reflexes,HP:0006801,False
brisk lower extremity reflexes,brisk lower extremity reflexes,HP:0002395,False
brisk lower limb reflexes,None detected,None,False
brisk reflexes,brisk reflexes,HP:0001348,False
brisk reflexes throughout,brisk reflexes,HP:0001348,False
brisk reflexes with clonus at the ankles,brisk reflexes,HP:0001348,False
brisk reflexes with clonus at the ankles,clonus,HP:0002169,False
brisk tendon reflexes,None detected,None,False
brisk upper limb reflexes,None detected,None,False
broad based gait,broad based gait,HP:0002136,False
broad nasal bridge,broad nasal bridge,HP:0000431,False
broad nasal root,broad nasal root,HP:0000431,False
bulbar dysfunction,None detected,None,False
bulbar dystonia,dystonia,HP:0001332,False
bulbar weakness,bulbar weakness,HP:0001283,False
bulbous nose,bulbous nose,HP:0000414,False
bulging eyes,None detected,None,False
cafe au lait spots,cafe au lait spots,HP:0000957,False
calf hypertrophy,calf hypertrophy,HP:0008981,False
cataplexy,cataplexy,HP:0002524,False
cataracts,cataracts,HP:0000518,False
central apnea,central apnea,HP:0002871,False
central hypotonia,central hypotonia,HP:0011398,False
central hypoventilation,central hypoventilation,HP:0007110,False
central retinal degeneration,retinal degeneration,HP:0000546,False
central visual impairment or optic atrophy,visual impairment,HP:0000505,False
central visual impairment or optic atrophy,optic atrophy,HP:0000648,False
cerbellar dysarthria,dysarthria,HP:0001260,False
cerebellar ataxia,cerebellar ataxia,HP:0001251,False
cerebellar ataxic gait,ataxic gait,HP:0002066,False
cerebellar atrophy,cerebellar atrophy,HP:0001272,False
cerebellar dysarthria,dysarthria,HP:0001260,False
cerebellar dysfunction,None detected,None,False
cerebellar limb ataxia,limb ataxia,HP:0002070,False
cerebellar oculomotor disturbance,None detected,None,False
cerebellar signs,cerebellar signs,HP:0001317,False
cervical dystonia,cervical dystonia,HP:0000473,False
Charcot joints,None detected,None,False
chest deformities,None detected,None,False
chest deformity,None detected,None,False
childhood absence epilepsy,epilepsy,HP:0001250,False
childhood onset seizures,seizures,HP:0001250,False
chorea,chorea,HP:0002072,False
choreic movements,choreic movements,HP:0002072,False
choreic movements in the distal limbs,choreic movements,HP:0002072,False
choreoathetoid movements,choreoathetoid movements,HP:0001266,False
choreoathetoid movements of the extremity,choreoathetoid movements,HP:0001266,False
choreoathetosis,choreoathetosis,HP:0001266,False
chronic cough,cough,HP:0012735,False
chronic diarrhea,chronic diarrhea,HP:0002028,False
claw hand deformities,claw hand,HP:0001171,False
claw hand deformities,claw hand deformities,HP:0001171,False
claw hands,claw hands,HP:0001171,False
claw toes,None detected,None,False
clawed toes,None detected,None,False
cleft palate,cleft palate,HP:0000175,False
clonic movements,None detected,None,False
clonic seizures,seizures,HP:0001250,False
clonus,clonus,HP:0002169,False
clouded consciousness,None detected,None,False
clubfeet,clubfeet,HP:0001762,False
clubfoot,clubfoot,HP:0001762,False
clumsiness,clumsiness,HP:0002312,False
clumsy gait,None detected,None,False
coarse facial features,coarse facial features,HP:0000280,False
coarse features,None detected,None,False
cognitive decline,cognitive decline,HP:0001268,False
cognitive delay,cognitive delay,HP:0001263,False
cognitive deterioration,None detected,None,False
cognitive impairment,cognitive impairment,HP:0100543,False
cognitive issues,None detected,None,False
cognitive regression,None detected,None,False
cogwheel ocular pursuit,None detected,None,False
cogwheel rigidity,cogwheel rigidity,HP:0002396,False
cogwheel tone without rigidity,rigidity,HP:0002063,True
color blindness,color blindness,HP:0007641,False
coma,coma,HP:0001259,False
complete areflexia,areflexia,HP:0001284,False
complete vertical gaze palsy,vertical gaze palsy,HP:0000511,False
complex partial seizures,complex partial seizures,HP:0002384,False
complex partial seizures with secondary generalization,complex partial seizures,HP:0002384,False
complex partial seizures with secondary generalization,partial seizures with secondary generalization,HP:0007334,False
compulsive behaviors,None detected,None,False
congenital contractures,congenital contractures,HP:0002803,False
congenital hip dislocation,congenital hip dislocation,HP:0001374,False
congenital nystagmus,congenital nystagmus,HP:0006934,False
constipation,constipation,HP:0002019,False
contractures,contractures,HP:0001371,False
contractures in lower extremities,contractures,HP:0001371,False
contractures of all joints in the lower limbs,contractures,HP:0001371,False
contractures of the extremities,contractures,HP:0001371,False
contractures of the knees and ankles,contractures of the knees,HP:0006380,False
convergent squint,squint,HP:0000486,False
convergent strabismus,convergent strabismus,HP:0020045,False
cortical blindness,cortical blindness,HP:0100704,False
cortical visual impairment,cortical visual impairment,HP:0100704,False
cramping in the lower limbs,None detected,None,False
cramps,None detected,None,False
crying bouts,None detected,None,False
deafness,deafness,HP:0000365,False
decreased consciousness,None detected,None,False
decreased deep tendon reflexes,decreased deep tendon reflexes,HP:0001265,False
decreased dexterity,None detected,None,False
decreased distal muscle bulk,None detected,None,False
decreased distal position sense,None detected,None,False
decreased distal sensation,decreased distal sensation,HP:0002936,False
decreased distal vibration sense,decreased distal vibration sense,HP:0006886,False
decreased exercise tolerance,None detected,None,False
decreased fine motor skills in the hands,None detected,None,False
decreased forced vital capacity,None detected,None,False
decreased hearing,None detected,None,False
decreased heart rate bordering bradycardia,bradycardia,HP:0001662,False
decreased IQ,None detected,None,False
decreased median motor NCVs,None detected,None,False
decreased muscle mass,decreased muscle mass,HP:0003199,False
decreased muscle mass of the shanks,decreased muscle mass,HP:0003199,False
decreased muscle strength in the hands,None detected,None,False
decreased or absent deep tendon reflexes,absent deep tendon reflexes,HP:0001284,False
decreased or absent reflexes,None detected,None,False
decreased patellar reflexes,decreased patellar reflexes,HP:0011808,False
decreased position sense,None detected,None,False
decreased pupillary reaction to light,None detected,None,False
decreased range of motion,None detected,None,False
decreased reactivity to electric stimulation,None detected,None,False
decreased reflexes,None detected,None,False
decreased reflexes in lower limbs,None detected,None,False
decreased reflexes in the lower limbs,None detected,None,False
decreased sensation,None detected,None,False
decreased shank muscle mass,None detected,None,False
decreased tendon reflexes,decreased tendon reflexes,HP:0001265,False
decreased vibration and position sense,None detected,None,False
decreased vibration sense,decreased vibration sense,HP:0002495,False
decreased vibration sense at the ankles,decreased vibration sense,HP:0002495,False
decreased vibration sense in lower limbs,decreased vibration sense,HP:0002495,False
decreased vibration sense in the lower limbs,decreased vibration sense,HP:0002495,False
decreased vibration sense in the toes,decreased vibration sense,HP:0002495,False
decreased vibratory sensation,None detected,None,False
decreased vibratory sense below the knees,decreased vibratory sense,HP:0002495,False
decreased visual acuity,decreased visual acuity,HP:0007663,False
decreased visual evoked potentials,None detected,None,False
decreased vital capacity,decreased vital capacity,HP:0002792,False
deep tendon reflexes,None detected,None,False
deficits in executive function,None detected,None,False
delayed early motor development,None detected,None,False
delayed early motor milestones,delayed early motor milestones,HP:0001270,False
delayed gross motor development,delayed gross motor development,HP:0002194,False
delayed language,None detected,None,False
delayed motor and language development,None detected,None,False
delayed motor development,delayed motor development,HP:0001270,False
delayed motor milestones,delayed motor milestones,HP:0001270,False
delayed motor skills,delayed motor skills,HP:0002194,False
delayed psychomotor development,delayed psychomotor development,HP:0001263,False
delayed walking,None detected,None,False
delusions,delusions,HP:0000746,False
dementia,dementia,HP:0000726,False
depressed deep tendon reflexes,None detected,None,False
depressed or absent deep tendon reflexes,absent deep tendon reflexes,HP:0001284,False
depression,depression,HP:0000716,False
developmental and motor delay,motor delay,HP:0001270,False
developmental arrest,developmental arrest,HP:0007281,False
developmental delay,developmental delay,HP:0001263,False
developmental delay of speech and motor skills,developmental delay,HP:0001263,False
developmental dyspraxia,None detected,None,False
dexterity difficulties,None detected,None,False
difficulties chewing,None detected,None,False
difficulties climbing stairs,None detected,None,False
difficulties in eating,None detected,None,False
difficulties swallowing,None detected,None,False
difficulties using the hands,None detected,None,False
difficulties with fine movements of the hands,None detected,None,False
difficulty breathing,difficulty breathing,HP:0002098,False
difficulty climbing stairs,difficulty climbing stairs,HP:0003551,False
difficulty expressing needs,None detected,None,False
difficulty in crawling,None detected,None,False
difficulty in opening of the eyelids,None detected,None,False
difficulty jumping,None detected,None,False
difficulty lifting above the head,None detected,None,False
difficulty running,difficulty running,HP:0009046,False
difficulty swallowing,difficulty swallowing,HP:0200136,False
difficulty walking,difficulty walking,HP:0002355,False
difficulty walking and running,difficulty walking,HP:0002355,False
difficulty walking on heels,difficulty walking,HP:0002355,False
difficulty walking with support,difficulty walking,HP:0002355,False
difficulty walking without support,difficulty walking,HP:0002355,False
difficulty with fine motor tasks,None detected,None,False
difficulty with handwriting,None detected,None,False
difficulty writing,None detected,None,False
diffuse muscle weakness with axial predominance,muscle weakness,HP:0001324,False
diffusely depigmented hair and skin at birth,None detected,None,False
dilated fixed and unequal pupils,None detected,None,False
diminished blink rate,None detected,None,False
diminished deep tendon reflexes in arms and knees,diminished deep tendon reflexes,HP:0001265,False
diminished manual dexterity,None detected,None,False
diminished muscle bulk distally,None detected,None,False
diminished or absent limb reflexes,None detected,None,False
diminished sensation of all modalities in the distal parts of the extremities,None detected,None,False
diminished tendon reflexes,None detected,None,False
diplopia,diplopia,HP:0000651,False
disabling daytime drowsiness,drowsiness,HP:0002329,False
discoloration,None detected,None,False
disinhibition,disinhibition,HP:0000734,False
dislocation of hips,None detected,None,False
dislocation of knees,None detected,None,False
dislocations of elbows,None detected,None,False
dislocations of knees,None detected,None,False
disordered skin and hair pigmentation,None detected,None,False
disorientation,disorientation,HP:0001289,False
disrupted ocular pursuit movements,disrupted ocular pursuit movements,HP:0000617,False
disrupted saccades,None detected,None,False
distal amyotrophy,distal amyotrophy,HP:0003693,False
distal atrophy,None detected,None,False
distal atrophy and severe weakness of the hands and ankles,None detected,None,False
distal contractures,contractures,HP:0001371,False
distal hypoesthesia,hypoesthesia,HP:0003474,False
distal joint laxity,joint laxity,HP:0001388,False
distal leg atrophy,None detected,None,False
distal limb deformities,None detected,None,False
distal limb muscle weakness,distal limb muscle weakness,HP:0002460,False
distal limb weakness,distal limb weakness,HP:0002460,False
distal lower limb wasting,None detected,None,False
distal lower limb weakness,lower limb weakness,HP:0007340,False
distal motor and sensory impairment,sensory impairment,HP:0003474,False
distal muscle atrophy,distal muscle atrophy,HP:0003693,False
distal muscle atrophy in the lower limbs,distal muscle atrophy,HP:0003693,False
distal muscle atrophy particularly of the intrinsic hand muscles,distal muscle atrophy,HP:0003693,False
distal muscle wasting,distal muscle wasting,HP:0003693,False
distal muscle wasting in the upper and lower limbs,distal muscle wasting,HP:0003693,False
distal muscle weakness,distal muscle weakness,HP:0002460,False
distal muscle weakness and atrophy,distal muscle weakness,HP:0002460,False
distal muscle weakness and atrophy affecting the lower limbs,distal muscle weakness,HP:0002460,False
distal muscle weakness in the upper and lower limbs,distal muscle weakness,HP:0002460,False
distal muscular atrophy,distal muscular atrophy,HP:0003693,False
distal muscular weakness,distal muscular weakness,HP:0002460,False
distal numbness and subjective coldness of the lower limbs,None detected,None,False
distal sensory abnormalities,None detected,None,False
distal sensory change,None detected,None,False
distal sensory impairment,distal sensory impairment,HP:0002936,False
distal sensory impairment at the toes,distal sensory impairment,HP:0002936,False
distal sensory impairment in lower limbs to vibration,distal sensory impairment in lower limbs,HP:0002936,False
distal sensory impairment of the lower limbs,distal sensory impairment,HP:0002936,False
distal sensory impairment particularly in the lower limbs,distal sensory impairment,HP:0002936,False
distal sensory loss,distal sensory loss,HP:0002936,False
distal sensory loss in the hands and feet,distal sensory loss,HP:0002936,False
distal sensory loss in the lower limbs,distal sensory loss,HP:0002936,False
distal upper limb wasting,None detected,None,False
distal upper limb weakness,limb weakness,HP:0003690,False
distal wasting in all limbs,None detected,None,False
distal weakness,None detected,None,False
distal weakness affecting the upper limb,None detected,None,False
distal weakness and atrophy in the upper extremities,None detected,None,False
distal weakness and atrophy of the limbs,None detected,None,False
distally pronounced muscular weakness of the arms and legs,muscular weakness,HP:0001324,False
diurnal variation of symptoms,None detected,None,False
dizziness,dizziness,HP:0002321,False
dorsal flexion of the great toes,None detected,None,False
double vision,double vision,HP:0000651,False
down or upslanting palpebral fissures,upslanting palpebral fissures,HP:0000582,False
downbeat nystagmus,downbeat nystagmus,HP:0010545,False
downbeating nystagmus,nystagmus,HP:0000639,False
drooling,drooling,HP:0002307,False
dysarthria,dysarthria,HP:0001260,False
dysarthric speech,dysarthric speech,HP:0001260,False
dysautonomia,None detected,None,False
dysconjugate eye gaze,None detected,None,False
dysdiadochokinesia,dysdiadochokinesia,HP:0002075,False
dysdiadochokinesis,dysdiadochokinesis,HP:0002075,False
dysesthetic sensations in feet,None detected,None,False
dysfunction of bowel and bladder,None detected,None,False
dysgraphia,dysgraphia,HP:0010526,False
dyskinesia,dyskinesia,HP:0100660,False
dyskinesias,dyskinesias,HP:0100660,False
dyskinetic movements in the left limb and trunk,None detected,None,False
dysmetria,dysmetria,HP:0001310,False
dysmetric saccades,dysmetric saccades,HP:0000641,False
dysmetric saccadic eye movements,None detected,None,False
dysmetric vertical saccades,None detected,None,False
dysmorphic facial features,dysmorphic facial features,HP:0001999,False
"dysmorphic features (prominent and bulbous nose, wide mouth, coarse features)",bulbous nose,HP:0000414,False
"dysmorphic features (prominent and bulbous nose, wide mouth, coarse features)",wide mouth,HP:0000154,False
dysphagia,dysphagia,HP:0002015,False
dysphonia,dysphonia,HP:0001618,False
dyspnea,dyspnea,HP:0002094,False
dystonia,dystonia,HP:0001332,False
dystonia affecting the legs,dystonia,HP:0001332,False
dystonia episodes of the face,dystonia,HP:0001332,False
dystonia involving the face,dystonia,HP:0001332,False
dystonia involving the jaw,dystonia,HP:0001332,False
dystonia involving the larynx,dystonia,HP:0001332,False
dystonia involving the tongue,dystonia,HP:0001332,False
dystonia involving the trunk,dystonia,HP:0001332,False
dystonia of the craniocervical region,dystonia,HP:0001332,False
dystonia of the feet,dystonia,HP:0001332,False
dystonia of the lower limbs,dystonia,HP:0001332,False
dystonia of the trunk,dystonia,HP:0001332,False
dystonia of the upper limbs,dystonia,HP:0001332,False
dystonic arm posturing,None detected,None,False
dystonic cramps,None detected,None,False
dystonic hand posturing,None detected,None,False
dystonic head jerks,None detected,None,False
dystonic movements,dystonic movements,HP:0001332,False
dystonic movements of the right hand,dystonic movements,HP:0001332,False
dystonic posture of toes,None detected,None,False
dystonic posture or movement,None detected,None,False
dystonic posturing,None detected,None,False
dystonic posturing of the hands,None detected,None,False
dystonic posturing of the head and arm,None detected,None,False
dystonic posturing of the limbs,None detected,None,False
dystonic posturing of the upper limbs,None detected,None,False
dystonic spasms,None detected,None,False
dystonic torticollis,torticollis,HP:0000473,False
dystonic tremor in upper limbs,tremor,HP:0001337,False
early loss of color discrimination,None detected,None,False
early onset hearing loss,hearing loss,HP:0000365,False
easy fatigability,easy fatigability,HP:0003388,False
elongated face,None detected,None,False
emotional lability,emotional lability,HP:0000712,False
end range nystagmus,nystagmus,HP:0000639,False
epilepsy,epilepsy,HP:0001250,False
episodic breath holding,None detected,None,False
episodic dyskinesias,dyskinesias,HP:0100660,False
episodic muscle cramps,muscle cramps,HP:0003394,False
equino-varus deformity,None detected,None,False
exaggerated deep tendon reflexes,None detected,None,False
exaggerated jaw jerk,None detected,None,False
exaggerated lumbar lordosis,exaggerated lumbar lordosis,HP:0002938,False
exaggerated startle reflex,None detected,None,False
exaggerated startle response,exaggerated startle response,HP:0002267,False
executive dysfunction,None detected,None,False
exercise induced paroxysmal dystonia,paroxysmal dystonia,HP:0002268,False
exotropia,exotropia,HP:0000577,False
explosive speech,explosive speech,HP:0002168,False
expressive ataxic speech,None detected,None,False
expressive language delay,expressive language delay,HP:0002474,False
expressive speech delay,speech delay,HP:0000750,False
extensor plantar responses,extensor plantar responses,HP:0003487,False
external ophthalmoplegia,external ophthalmoplegia,HP:0000544,False
extreme hypertonia,hypertonia,HP:0001276,False
eye movement abnormalities,eye movement abnormalities,HP:0000496,False
eyelid apraxia,eyelid apraxia,HP:0000658,False
eyelid myoclonia,eyelid myoclonia,HP:0025097,False
face involvement,None detected,None,False
facial dystonia,facial dystonia,HP:0012179,False
facial grimacing,facial grimacing,HP:0000273,False
facial hypomimia,hypomimia,HP:0000338,False
facial hypotonia,facial hypotonia,HP:0000297,False
facial lingual fasciculations,lingual fasciculations,HP:0001308,False
facial myoclonus,myoclonus,HP:0001336,False
facial myokymia,facial myokymia,HP:0000317,False
facial palsy with reduced tongue mobility,facial palsy,HP:0010628,False
facial tics,facial tics,HP:0011468,False
facial weakness,facial weakness,HP:0010628,False
failure to acquire language,None detected,None,False
failure to thrive,failure to thrive,HP:0001508,False
fasciculations,fasciculations,HP:0002380,False
fasciculations in the lower limbs,fasciculations,HP:0002380,False
fasciculations of the periorbital region and limbs,fasciculations,HP:0002380,False
fast horizontal or rotary nystagmus,rotary nystagmus,HP:0001583,False
fatigue following ataxic attacks,fatigue,HP:0012378,False
faucial dystonia,dystonia,HP:0001332,False
febrile seizures,febrile seizures,HP:0002373,False
feeding difficulties,feeding difficulties,HP:0011968,False
feeding difficulties requiring a gastrostomy tube,feeding difficulties,HP:0011968,False
feeding problems,feeding problems,HP:0011968,False
feeling of muscle slowness or stiffness,None detected,None,False
fetal akinesia,fetal akinesia,HP:0001989,False
fine finger control difficulties,None detected,None,False
fine motor incoordination,incoordination,HP:0002311,False
fine twitching in the face,twitching,HP:0010546,False
fine twitching in the hand muscles,twitching,HP:0010546,False
fixed facial expression,fixed facial expression,HP:0005329,False
flaccidity,None detected,None,False
flat face,flat face,HP:0012368,False
flat feet,flat feet,HP:0001763,False
flexion contractures,flexion contractures,HP:0001371,False
flexion contractures of the fingers,flexion contractures,HP:0001371,False
flexion contractures of the legs,flexion contractures,HP:0001371,False
flexion contractures of the limbs,flexion contractures,HP:0001371,False
flexion contractures of the toes,flexion contractures,HP:0001371,False
flexion contractures of the toes,contractures of the toes,HP:0005830,False
flexion deformities of the interphalangeal joints,None detected,None,False
flexion dystonia of the fingers,dystonia,HP:0001332,False
flexion of the elbows,None detected,None,False
flexion of the knees,None detected,None,False
focal dystonia,focal dystonia,HP:0004373,False
focal myoclonic seizures,focal myoclonic seizures,HP:0011166,False
focal seizures,focal seizures,HP:0007359,False
foot abnormalities,None detected,None,False
foot and wrist drop,wrist drop,HP:0031189,False
foot clonus,clonus,HP:0002169,False
foot deformities,foot deformities,HP:0001760,False
foot deformities (pes cavus or pes valgus),foot deformities,HP:0001760,False
foot deformities (pes cavus or pes valgus),pes cavus,HP:0001761,False
foot deformities (pes cavus or pes valgus),pes valgus,HP:0008081,False
foot deformities (pes cavus),foot deformities,HP:0001760,False
foot deformities (pes cavus),pes cavus,HP:0001761,False
foot deformities including pes cavus and hammertoes,foot deformities,HP:0001760,False
