extracted_term,matched_hp_term,matched_hp_id,similarity
absent deep tendon reflexes in the legs,Deep tendon reflexes absent,HP:0001284,0.9495816774167803
absent detrusor contractility,Detrusor sphincter dyssynergia,HP:0025488,0.9190208454054613
absent gag reflex,Absent ankle reflexes,HP:0003438,0.9240646176528488
absent knee jerk reflexes,Absent knee jerk reflex,HP:0006844,0.976047518691843
absent language,Absent pulse,HP:0032554,0.9500101128056603
absent muscle stretch reflexes,Deep tendon reflexes absent,HP:0001284,0.9378137275381845
absent or limited speech,Absent speech development,HP:0001344,0.9050274002872979
absent reflexes,Absent ankle reflexes,HP:0003438,0.9221546699484453
absent reflexes at the ankle,Increased deep tendon reflexes in the lower limbs,HP:0002395,0.9196398809671139
absent reflexes at the ankles,Increased deep tendon reflexes in the lower limbs,HP:0002395,0.9120849487091619
absent sensory nerve action potentials,Abnormal peripheral action potential amplitude,HP:0030179,0.94598771865651
absent speech,Absent nipple,HP:0002561,0.9752659469899395
absent tendon reflexes,Deep tendon reflexes absent,HP:0001284,0.9698861599643138
acetabular dysplasia,Acetabular hypoplasia,HP:0003274,0.9793552347296856
achalasia,Anal achalasia,HP:6000018,0.9772688313291831
Achilles contractures,Achilles tendonitis,HP:0025273,0.9260795671218526
Achilles tendon contractures,Achilles tendon contractures,HP:0001771,0.9957811353120669
acquired microcephaly,Acquired microcephaly,HP:0005484,0.9772196375668191
acropathy,Acromelia,HP:0010884,0.9247000954846866
action tremor,Terminal tremor,HP:0002080,0.9778611996564535
action tremor of the hand,Hand tremor,HP:0002378,0.9351168468865778
action tremor of the hands,Hand tremor,HP:0002378,0.9352337062041686
acute onset of dysarthria,Rigid dysarthria,HP:0002464,0.9582352711825126
acute respiratory stridor,Inspiratory stridor,HP:0005348,0.9397581598493673
adducted thumbs,Adducted thumbs,HP:0001181,0.9729167419670293
afebrile seizures,Gastroenteritis-related afebrile seizure,HP:0032893,0.9260489158644182
aggression,Aggression,HP:0000718,0.9999999999996217
aggressive behaviors,Aggressive behavior,HP:0000718,0.9841078902145709
agraphia,Agraphia,HP:0010526,0.9999999999997391
akathisia,Akathisia,HP:0031943,0.9999999999997115
akinesia,Akinesia,HP:0002304,0.9999999999997697
akinetic rigid parkinsonism,Parkinsonian disease,HP:0001300,0.948048185162054
akinetic rigid syndrome,hyperkinetic disorder,HP:0000752,0.9367032849300896
akinetic rigidity,Fetal akinesia,HP:0001989,0.9366915297308721
altered finger nose test,Abnormal finger-nose-finger test,HP:0001310,0.9047848797376755
altered heel knee test,Impaired heel-walking ability,HP:6000490,0.915873975181585
amblyopia,Axial myopia,HP:0031730,0.9402225399862579
ambulation with walker,Impaired toe-walking ability,HP:0034052,0.9239300153573528
amyotrophy of the forearms,Amyotrophy involving the upper limbs,HP:0009129,0.9570429338043858
amyotrophy of the hands,Amyotrophy involving the upper limbs,HP:0009129,0.9525594155014897
amyotrophy of the lower legs,Amyotrophy involving the upper limbs,HP:0009129,0.9569335505598991
anarthria,Hemarthrosis,HP:0005261,0.9385117156539963
ankle areflexia,Areflexia of upper limbs,HP:0012046,0.9412093236571707
ankle clonus,Elbow clonus,HP:0011728,0.9861763129386376
ankle contractures,Ankle contracture,HP:0034677,0.9851202703904833
ankle foot orthotics,Hindfoot equinus,HP:0008138,0.8982334274663021
ankle joint instability,Joint instability,HP:0001382,0.9503878120633564
ankle sprains,Knee dislocations,HP:0004976,0.8876963574760262
anosmia,Specific anosmia,HP:0012247,0.9498178522509302
anteverted nostrils,Anteverted nose,HP:0000463,0.9776480729081519
anxiety,Anxiety,HP:0000739,0.999999999999714
apathy,AEA,HP:0034070,0.9456932888927835
aphasia,Nominal aphasia,HP:0030784,0.9567494184245064
aphonia,Aphonia,HP:0001686,0.9999999999997596
appendicular ataxia,Appendicular ataxia,HP:0002070,0.9999999999998119
appendicular dysmetria,Appendicular hypotonia,HP:0012389,0.9460841664636975
appendicular hypertonia,Appendicular hypertonia,HP:0002509,0.9999999999998787
appendicular spasticity,Appendicular spasticity,HP:0034353,0.9999999999998642
apraxia,Apraxia of speech,HP:0011098,0.9648738863605825
apraxia of eyelid opening,Upper eyelid retraction,HP:0500044,0.944461959404
arachnodactyly,Megalodactyly,HP:0004099,0.9602630580002539
arched eyebrows,Arched eyebrows,HP:0002553,0.980312594796172
arched feet,Arched eyebrows,HP:0002553,0.9685878848333098
arching back,Fallen arches,HP:0001763,0.8938681015616003
arching of the neck,Fragmentation of the end part of the middle hand bones,HP:0010261,0.9010551150420468
areflexia,Areflexia in lower limbs,HP:0002522,0.9468816300831092
areflexia in the lower limbs,Areflexia of upper limbs,HP:0012046,0.9549498166162753
areflexia of the lower limbs,Areflexia of upper limbs,HP:0012046,0.9449974253622484
Argyll Robertson pupils,Marfanoid habitus,HP:0001519,0.928143922623181
arm involvement,Short arms,HP:0009824,0.9140805196901322
arm tremor,Hand tremor,HP:0002378,0.989071517421328
arrest and regression of motor function,"Psychomotor regression, progressive",HP:0002376,0.9032883034702913
arthrogryposis,Arthrogryposis,HP:0002804,0.9999999999997979
articulation problems,Speech articulation difficulties,HP:0009088,0.9427251254101837
asymmetric proximal muscle weakness,Late-onset proximal muscle weakness,HP:0003694,0.9585373109922546
asymmetric resting tremor,Postural tremor of arms,HP:0007351,0.9512810821375205
asymmetric tremor,Head tremor,HP:0002346,0.9493628178880885
asymmetric weakness,Asymmetric ears,HP:0010722,0.9802471787201061
ataxia,"Ataxia, sensory",HP:0010871,0.9775065223758669
ataxia of the arms,Spastic ataxia,HP:0002497,0.9292192859967457
ataxia of the upper limbs,"Gait ataxia, progressive",HP:0007240,0.9195113996730313
ataxic episodes,"Ataxia, sensory",HP:0010871,0.9645698240132433
ataxic gait,Ataxic gait,HP:0002066,0.9999999999998287
ataxic movements,"Ataxia, sensory",HP:0010871,0.9657075044924351
athetoid movements,Athetoid movements,HP:0002305,0.9966226845931937
athetosis,Athetoid movements,HP:0002305,0.9298700060006161
atonia,Atonic seizures,HP:0010819,0.9311331863791572
atonic seizures,Partial atonic seizure,HP:0020220,0.9431576480832374
atrophic optic discs,Abnormal optic disc morphology,HP:0012795,0.9427479899106574
atrophy,Atrophy of one side of the face,HP:0011331,0.9832429775887364
atrophy in the intrinsic hand muscles,Intrinsic hand muscle atrophy,HP:0008954,0.9596159329653147
atrophy of all extremities,Distal limb muscle atrophy,HP:0003693,0.9140499822230302
atrophy of hand muscles,Intrinsic hand muscle atrophy,HP:0008954,0.9501726876330082
atrophy of intrinsic hand muscles,Intrinsic hand muscle atrophy,HP:0008954,0.9680591885038695
atrophy of lower limb muscles,Distal limb muscle atrophy,HP:0003693,0.9632416644384957
atrophy of lower limbs,Distal limb muscle atrophy,HP:0003693,0.9491373766299315
atrophy of peroneal muscles,Peroneal atrophy,HP:0009049,0.9581109374428923
atrophy of the anterior tibial peroneal muscles,Peroneal atrophy,HP:0009049,0.9392345324093375
atrophy of the distal limb muscles,Distal limb muscle atrophy,HP:0003693,0.9691896482713399
atrophy of the distal lower limb muscles,Distal upper limb muscle atrophy,HP:0007149,0.9664128490915352
atrophy of the distal muscles of the forearm,"Distal muscle atrophy, upper and lower limbs",HP:0003693,0.9391179477860243
atrophy of the hand muscles,Intrinsic hand muscle atrophy,HP:0008954,0.9434255270671978
atrophy of the intrinsic foot muscles,Proximal lower limb muscle atrophy,HP:0008956,0.9466300858318007
atrophy of the intrinsic hand muscles,Intrinsic hand muscle atrophy,HP:0008954,0.9602766862423152
"atrophy of the intrinsic hand, foot, and calf muscles",Proximal upper limb muscle atrophy,HP:0008948,0.9407190470017144
atrophy of the legs,"Distal muscle atrophy, upper and lower limbs",HP:0003693,0.9288425147603682
atrophy of the lower limbs,Distal limb muscle atrophy,HP:0003693,0.9458137210722323
atrophy of the paraspinal muscles,Paraspinal muscle hypertrophy,HP:0012894,0.9529817062882977
atrophy of the peroneal muscles,Peroneal atrophy,HP:0009049,0.9551159335923883
atrophy of the posterior tibial muscles,Tibialis muscle degeneration,HP:0011399,0.9468223445454041
attacks of athetosis,Spasmodic croup,HP:0033000,0.9210640172487803
attacks of chorea,Negative chorea,HP:0040200,0.9267910282057614
attacks of dystonia,Focal dystonia,HP:0004373,0.9562343743431035
attacks of muscle weakness mainly in limbs,Distal upper limb muscle weakness,HP:0008959,0.9226041952284136
attention deficit with hyperactivity,Attention deficit-hyperactivity disorder,HP:0007018,0.9624081799334057
attention deficits,Poor attention span,HP:0000736,0.9603599912036911
atypical absence seizures,Atypical absence seizures,HP:0007270,0.9639598257935975
atypical gait disturbance,"Gait ataxia, progressive",HP:0007240,0.9373054464505882
autism spectrum disorder,Autism spectrum disorder,HP:0000729,0.9999999999997596
autistic behavior,Autistic behaviors,HP:0000729,0.999999999999813
automutilation such as hand biting,Decreased circulating alpha-mannosidase activity,HP:0034712,0.8893226622752253
awkward gait,Gait difficulties,HP:0001288,0.9437078225353461
awkward in toed gait,Tiptoe gait,HP:0030051,0.9317309894373554
axial dystonia,Cranial dystonia,HP:0012048,0.975578325776674
axial hypotonia,"Hypotonia, axial, in infancy",HP:0009062,0.9590660801304235
axial rigidity,Helical atelectasis,HP:0033658,0.9057877404649797
axial weakness,Axial muscle weakness,HP:0003327,0.9722851558203562
Babinski sign,Positive Babinski sign,HP:0003487,0.938152605983485
back pain,Hip pain,HP:0030838,0.9499557244642569
balance problems,Fluid retention,HP:0000969,0.9159738885741624
ballismus,Ballismus,HP:0100248,0.9999999999997756
behavioral abnormalities,Behavioral abnormality,HP:0000708,0.988264115823507
behavioral and psychiatric disturbances,Behavioral/psychiatric abnormalities,HP:0000708,0.9545614518506647
behavioral changes,Behavioral disturbances,HP:0000708,0.9742249109265664
behavioral disturbances,Behavioral disturbances,HP:0000708,0.9477548870720026
behavioral issues,Behavioral problems,HP:0000708,0.9778028066939368
behavioral problems,Behavioral disturbances,HP:0000708,0.9776581128095015
behavioral problems with aggressive features,Behavioral/psychiatric abnormalities,HP:0000708,0.9070263583921396
bifid uvula,Bifid palatine uvula,HP:0000193,0.9724872291456842
bilateral cavus feet,Cavus foot,HP:0001761,0.9529843784057463
bilateral extensor plantar responses,Extensor plantar response,HP:0003487,0.9827110667076944
bilateral facial weakness,Bilateral facial weakness,HP:0001349,0.9999999999997614
bilateral foot drop,Bilateral clubfoot,HP:0001776,0.9358837505872543
bilateral hand tremor,Hand tremor,HP:0002378,0.9770514165178262
bilateral hand tremors,Hand tremor,HP:0002378,0.9691545204019774
bilateral lower limb hyperreflexia,Hyperreflexia in upper limbs,HP:0007350,0.9678416258690065
bilateral optic atrophy,Optic nerve atrophy,HP:0000648,0.9657029497777747
bilateral pes cavus,pes cavus,HP:0001761,0.9699199235386515
bilateral pes equinovarus,Equinovarus deformity,HP:0008110,0.9356471439665945
bilateral progressive visual failure,Slowly progressive visual loss,HP:0000529,0.966616772416675
bilateral upgoing plantar responses,Multiple plantar creases,HP:0008113,0.9159150616903454
bilateral vocal cord paralysis,Bilateral vocal cord paralysis,HP:0012820,0.9999999999998643
bladder disturbance,Loss of bladder control,HP:0000020,0.9440256541370832
bladder disturbances,Bladder pain,HP:0032171,0.927697840922707
bladder dysfunction,Autonomic bladder dysfunction,HP:0005341,0.9463156171415347
bladder incontinence,Bladder incontinence,HP:0000020,0.9999999999998469
bladder urgency,Bladder pain,HP:0032171,0.9539728449991052
blepharoptosis,Blepharoptosis,HP:0000508,0.9999999999997853
blepharospasm,Blepharoptosis,HP:0000508,0.9334432933081509
blindness,Blindness,HP:0000618,0.9999999999996599
blindness from optic atrophy,Leber optic atrophy features,HP:0001112,0.9401931919516838
blurred vision,Blurred vision,HP:0000622,0.9999999999997355
body temperature instability,Body temperature instability,HP:0005968,0.9999999999998388
bowel urgency,Abnormal bowel sounds,HP:0030142,0.9585062800044077
brachial dystonia,Truncal dystonia,HP:0002530,0.9677388031513615
brachycephaly,Megacephaly,HP:0000256,0.9671419156059281
bradykinesia,Hyperkinesia,HP:0002487,0.9609886764665451
bradykinesia of the tongue,Hypokinesia of the lower extremities,HP:0033414,0.9184757309372734
brief attacks of dystonia,Episodic dystonia,HP:0002268,0.939955558470067
brisk deep tendon reflexes,Deep tendon reflexes absent,HP:0001284,0.970324776314639
brisk deep tendon reflexes in the lower extremities,Brisk lower extremity reflexes,HP:0002395,0.9224011537423846
brisk lower extremity reflexes,Brisk lower extremity reflexes,HP:0002395,0.9538298646725459
brisk lower limb reflexes,Tonic neck reflex asymmetrical and persistent,HP:0032549,0.9248584096757356
brisk reflexes,Abdominal reflex absent,HP:0031827,0.9312662661447313
brisk reflexes throughout,Abdominal reflex absent,HP:0031827,0.9318184018506148
brisk reflexes with clonus at the ankles,Palatal myoclonus,HP:0010530,0.9246916046923239
brisk tendon reflexes,Deep tendon reflexes absent,HP:0001284,0.9700513211555583
brisk upper limb reflexes,Tonic neck reflex asymmetrical and persistent,HP:0032549,0.9241586198159841
broad based gait,Wide based gait,HP:0002136,0.9190837203517017
broad nasal bridge,Broad nasal bridge,HP:0000431,0.9999999999997946
broad nasal root,Broad nasal root,HP:0000431,0.9999999999997782
bulbar dysfunction,Bulbar weakness,HP:0001283,0.9440036482544474
bulbar dystonia,Focal dystonia,HP:0004373,0.9763973947014166
bulbar weakness,Bulbar weakness,HP:0001283,0.9999999999997217
bulbous nose,Bulbous nose,HP:0000414,0.999999999999759
bulging eyes,Bluish lips,HP:0034030,0.9307415511853644
cafe au lait spots,Cafe au lait spots,HP:0000957,0.9741176718122276
calf hypertrophy,Calf hypertrophy,HP:0008981,0.9999999999998374
cataplexy,Cataplexy,HP:0002524,0.9999999999997926
cataracts,"Cataract, progressive",HP:0007834,0.967660560185617
central apnea,Central apnoea,HP:0002871,0.9689403850312986
central hypotonia,Central hypotonia,HP:0001252,0.9999999999998793
central hypoventilation,Central hypoventilation,HP:0007110,0.9999999999998748
central retinal degeneration,Peripheral retinal degeneration,HP:0007769,0.9935100514199938
central visual impairment or optic atrophy,Optic nerve atrophy,HP:0000648,0.9474164596456106
cerbellar dysarthria,Cerebellar ataxia,HP:0001251,0.9465136756342405
cerebellar ataxia,Cerebellar ataxia,HP:0001251,0.9999999999999012
cerebellar ataxic gait,Cerebellar ataxia,HP:0001251,0.9826717621731447
cerebellar atrophy,Diffuse cerebellar atrophy,HP:0100275,0.9790707937123118
cerebellar dysarthria,Cerebellar ataxia,HP:0001251,0.9563461405112321
cerebellar dysfunction,Cerebellar abnormalities,HP:0001317,0.9786759794102241
cerebellar limb ataxia,Cerebellar ataxia,HP:0001251,0.9901289360712818
cerebellar oculomotor disturbance,Oculomotor abnormalities,HP:0000496,0.96538524122844
cerebellar signs,Cerebellar signs,HP:0001317,0.9892768384179493
cervical dystonia,Cervical dystonia,HP:0000473,0.9999999999998913
Charcot joints,Charcot joint,HP:0002821,0.9942128024701685
chest deformities,Spinal deformities,HP:0008443,0.9515305798663882
chest deformity,Hand deformities,HP:0001155,0.9659124062923146
childhood absence epilepsy,Epilepsy,HP:0001250,0.9423521992632896
childhood onset seizures,Focal seizure without motor onset,HP:0032679,0.9407234221471201
chorea,Negative chorea,HP:0040200,0.9633760251511095
choreic movements,Choreic movements,HP:0002072,0.9903352115150156
choreic movements in the distal limbs,Palatal myoclonus,HP:0010530,0.9129304310386089
choreoathetoid movements,Choreoathetoid movements,HP:0001266,0.9980586469292708
choreoathetoid movements of the extremity,Akinesia of the upper extremities,HP:0033412,0.9332695039853008
choreoathetosis,"Choreoathetosis, intermittent",HP:0007098,0.9824332913550412
chronic cough,Chronic cough,HP:0034315,0.9999999999997499
chronic diarrhea,Chronic diarrhea,HP:0002028,0.9999999999998397
claw hand deformities,Claw hand deformity,HP:0034337,0.9838664780651323
claw hands,Hairy elbow,HP:0004780,0.929619566996358
claw toes,Hammer toe,HP:0001765,0.9425936575148399
clawed toes,Absent thumb,HP:0009777,0.9176314754693498
cleft palate,Cleft of palate,HP:0000175,0.9999999999998332
clonic movements,Clonic seizure,HP:0020221,0.9586371869966154
clonic seizures,Clonic seizure,HP:0020221,0.9736490417063315
clonus,Clonic seizure,HP:0020221,0.8992485264715316
clouded consciousness,Cloudy lens,HP:0000518,0.937389123616417
clubfeet,Clubfeet,HP:0001762,0.9999999999997351
clubfoot,Clubfoot,HP:0001762,0.9999999999997112
clumsiness,Clumsiness,HP:0002312,0.9999999999998381
clumsy gait,Abnormal gait,HP:0001288,0.9602407381509661
coarse facial features,Coarse facial features,HP:0000280,0.9740196958967102
coarse features,Coarse face,HP:0000280,0.9687797079153845
cognitive decline,Cognitive decline,HP:0001268,0.9999999999996932
cognitive delay,Cognitive delay,HP:0001263,0.9999999999997033
cognitive deterioration,Intellectual deterioration,HP:0001268,0.9697001549114914
cognitive impairment,Cognitive impairment,HP:0100543,0.9999999999998188
cognitive issues,Cognitive delay,HP:0001263,0.966882100169063
cognitive regression,Cognitive regression,HP:0034332,0.9999999999996917
cogwheel ocular pursuit,Chaotic rapid conjugate ocular movements,HP:0007295,0.9204059890153006
cogwheel rigidity,Cogwheel rigidity,HP:0002396,0.9999999999998468
cogwheel tone without rigidity,Cogwheel rigidity,HP:0002396,0.907147731352713
color blindness,Color blindness,HP:0007641,0.9999999999998066
coma,Coma,HP:0001259,0.999999999999461
complete areflexia,Areflexia in lower limbs,HP:0002522,0.9579906636636272
complete vertical gaze palsy,Vertical gaze palsy,HP:0000511,0.9860159670152109
complex partial seizures,Complex partial seizure,HP:0002384,0.9516788277733689
complex partial seizures with secondary generalization,Partial seizure with secondary generalization,HP:0007334,0.9531889675029069
compulsive behaviors,Repetitive compulsive behavior,HP:0008762,0.9623692385359068
congenital contractures,congenital contractures,HP:0002803,0.9903615768042232
congenital hip dislocation,Congenital hip dislocations,HP:0001374,0.9999999999998413
congenital nystagmus,"Nystagmus, congenital horizontal",HP:0007859,0.9813258237230962
constipation,Constipation,HP:0002019,0.9999999999997687
contractures,Contracture,HP:0034392,0.9848265342855148
contractures in lower extremities,Scissoring of the lower extremities,HP:0012407,0.9202971622124643
contractures of all joints in the lower limbs,Contractures of the joints of the upper limbs,HP:0100360,0.9098899167245145
contractures of the extremities,Scissoring of the lower extremities,HP:0012407,0.9063959939083776
contractures of the knees and ankles,Contractures of the joints of the upper limbs,HP:0100360,0.9070115222376277
convergent squint,Convergent squint,HP:0020045,0.9999999999997836
convergent strabismus,Convergent strabismus,HP:0020045,0.9999999999998541
cortical blindness,Cortical blindness,HP:0100704,0.9999999999998453
cortical visual impairment,Cortical visual impairment,HP:0100704,0.9999999999998952
cramping in the lower limbs,Intermittent painful muscle spasms,HP:0011964,0.9212666988951391
cramps,Muscle cramps,HP:0003394,0.9405038630015844
crying bouts,Feeding difficulties,HP:0011968,0.9249747470029867
deafness,Deafness,HP:0000365,0.9999999999997526
decreased consciousness,Diminished motivation,HP:0000745,0.9582031742449392
decreased deep tendon reflexes,Deep tendon reflexes absent,HP:0001284,0.9695484793891556
decreased dexterity,Impaired fine motor skills,HP:0007010,0.8855126579584641
decreased distal muscle bulk,Distal muscle wasting,HP:0003693,0.9604074132619975
decreased distal position sense,Decreased distal vibration sense,HP:0006886,0.9362079186667853
decreased distal sensation,Decreased distal sensation,HP:0002936,0.9843514676542486
decreased distal vibration sense,Decreased distal vibration sense,HP:0006886,0.9693193808856079
decreased exercise tolerance,Poor exercise tolerance,HP:0003546,0.9425253677579453
decreased fine motor skills in the hands,Impaired fine motor skills,HP:0007010,0.9386916455031487
decreased forced vital capacity,Decreased vital capacity,HP:0002792,0.9287275232353764
decreased hearing,Decreased fertility,HP:0000144,0.9493952495400562
decreased heart rate bordering bradycardia,Sinus bradycardia,HP:0001688,0.9382520466199974
decreased IQ,decreased IQ,HP:0001249,0.9742267500700441
decreased median motor NCVs,Decreased motor NCV,HP:0003431,0.9450054515079371
decreased muscle mass,Decreased muscle mass,HP:0003199,0.9729018991002819
decreased muscle mass of the shanks,Shortening of the shankbone,HP:0005736,0.934662963849969
decreased muscle strength in the hands,Decreased facial muscle strength,HP:0030319,0.9232783032057021
decreased or absent deep tendon reflexes,Decreased/absent deep tendon reflexes,HP:0001315,0.9591400489000158
decreased or absent reflexes,Decreased or absent ankle reflexes,HP:0200101,0.9045361998152495
decreased patellar reflexes,Decreased patellar reflexes,HP:0011808,0.9561424957333453
decreased position sense,Increased distance between eyes,HP:0000316,0.9289582006016869
decreased pupillary reaction to light,Abnormal pupillary light reflex,HP:0007695,0.9229346319432205
decreased range of motion,Limited movement of hinge joints,HP:0006064,0.9205471337442886
decreased reactivity to electric stimulation,Impaired vibratory sensation,HP:0002495,0.9087118598015683
decreased reflexes,Decreased reflex response,HP:0001265,0.9485745519214651
decreased reflexes in lower limbs,Increased deep tendon reflexes in the lower limbs,HP:0002395,0.9206057699211609
decreased reflexes in the lower limbs,Increased deep tendon reflexes in the lower limbs,HP:0002395,0.9100498931700965
decreased sensation,Decreased taste,HP:0000224,0.952242106214859
decreased shank muscle mass,Shortening of the shankbone,HP:0005736,0.9429834799598265
decreased tendon reflexes,Deep tendon reflexes absent,HP:0001284,0.9623023588642448
decreased vibration and position sense,Decreased vibration sense at ankles,HP:0006938,0.9373274505866722
decreased vibration sense,Decreased vibration sense,HP:0002495,0.9716534091986091
decreased vibration sense at the ankles,Impaired vibration sensation in the lower limbs,HP:0002166,0.9306658006713768
decreased vibration sense in lower limbs,Impaired vibration sensation in the lower limbs,HP:0002166,0.9482679141596343
decreased vibration sense in the lower limbs,Decreased lower limb vibratory sense,HP:0002166,0.9318677947242882
decreased vibration sense in the toes,Decreased vibration sense at ankles,HP:0006938,0.9430898236414388
decreased vibratory sensation,Impaired vibratory sensation,HP:0002495,0.9829526034451594
decreased vibratory sense below the knees,Decreased lower limb vibratory sense,HP:0002166,0.9556298071317497
decreased visual acuity,Decreased visual acuity,HP:0007663,0.9866434158380467
decreased visual evoked potentials,Abnormal visual evoked responses,HP:0000649,0.9532125540783161
decreased vital capacity,Decreased vital capacity,HP:0002792,0.974048822299875
deep tendon reflexes,Deep tendon reflexes absent,HP:0001284,0.9869058594251942
deficits in executive function,Impaired executive functioning,HP:0033051,0.9617175821136427
delayed early motor development,Delay in motor development,HP:0001270,0.9640888667492881
delayed early motor milestones,Delayed early motor milestones,HP:0001270,0.9612146486841235
delayed gross motor development,Limited gross motor development,HP:0002194,0.9805689783826824
delayed language,Language delay,HP:0000750,0.9582071990343785
delayed motor and language development,Delayed fine motor development,HP:0010862,0.9524174446691062
delayed motor development,Delay in motor development,HP:0001270,0.9738688664905418
delayed motor milestones,Delayed early motor milestones,HP:0001270,0.9397171160365035
delayed motor skills,Gross motor delay,HP:0002194,0.9542693752824959
delayed psychomotor development,Delayed psychomotor development,HP:0001263,0.9902180628542832
delayed walking,Delayed milestones,HP:0001263,0.9618371554217796
delusions,Delusions,HP:0000746,0.9812671204445456
dementia,Dementia,HP:0000726,0.9999999999997851
depressed deep tendon reflexes,Deep tendon reflexes absent,HP:0001284,0.9689717845505685
depressed or absent deep tendon reflexes,Decreased/absent deep tendon reflexes,HP:0001315,0.9543106841930716
depression,Depression,HP:0000716,0.9999999999995745
developmental and motor delay,No development of motor milestones,HP:0001270,0.9451298661773682
developmental arrest,Developmental arrest,HP:0007281,0.9999999999997405
developmental delay,Developmental delay,HP:0001263,0.9999999999997073
developmental delay of speech and motor skills,Mental and motor retardation,HP:0001263,0.9311717350159026
developmental dyspraxia,Verbal dyspraxia,HP:0011098,0.9697938649979029
dexterity difficulties,Impaired fine motor skills,HP:0007010,0.8836809779276461
difficulties chewing,Difficulty speaking,HP:0002465,0.9499854839024178
difficulties climbing stairs,Difficulty walking backward,HP:0031847,0.9214302861980785
difficulties in eating,Impaired self monitoring,HP:0033070,0.8961884205239313
difficulties swallowing,Difficulty swallowing,HP:0002015,0.952470184553115
difficulties using the hands,Lack of purposeful hand use,HP:0032588,0.8958270667236405
difficulties with fine movements of the hands,Impaired fine motor skills,HP:0007010,0.8930873701468758
difficulty breathing,Difficulty breathing,HP:0002094,0.96150767209697
difficulty climbing stairs,Difficulty walking backward,HP:0031847,0.948405267472131
difficulty expressing needs,Difficulty communicating emotions,HP:5200122,0.9256401587983306
difficulty in crawling,Difficulty walking backward,HP:0031847,0.9245013545695209
difficulty in opening of the eyelids,Bilateral blockage of the rear opening of the nasal cavity,HP:0004502,0.9110624427234756
difficulty jumping,Difficulty breathing,HP:0002094,0.979307181520337
difficulty lifting above the head,Impaired neck-righting reflex,HP:0033330,0.8854124858995179
difficulty running,Difficulty running,HP:0009046,0.9349713887672501
difficulty swallowing,Difficulty swallowing,HP:0002015,0.9743441089998944
difficulty walking,Difficulty in walking,HP:0002355,0.9685885972561852
difficulty walking and running,Difficulty walking backward,HP:0031847,0.9232582586640111
difficulty walking on heels,Difficulty walking backward,HP:0031847,0.9451231912390907
difficulty walking with support,Difficulty walking backward,HP:0031847,0.9287358991751142
difficulty walking without support,Difficulty walking backward,HP:0031847,0.9324547297623985
difficulty with fine motor tasks,Impaired fine motor skills,HP:0007010,0.9557090114735187
